address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_for_two,reviews_list,cuisines_count,service_type,city_list,high_rated,cuisine_count,multi_cuisine
"Address_874, Bangalore",KFC,No,Yes,3.8,2005,080-1914394,Indiranagar,Bakery,Biryani,"Mexican, Thai, Chinese, Desserts",600.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_511, Bangalore",Resto_511,No,No,3.4,1731,080-2396415,MG Road,Bar,Dosa,"Desserts, North Indian",1500.0,Sample Review Text...,2,Buffet,Bengaluru,0,2,1-2 Cuisines
"Address_656, Bangalore",Empire Restaurant,Yes,No,4.7,1177,080-4996784,,Bakery,Pasta,"Fast Food, Beverages, Continental, Chinese, Italian",2000.0,Sample Review Text...,5,Delivery,Bengaluru,1,5,3+ Cuisines
"Address_96, Bangalore",Pizza Hut,Yes,Yes,3.2,2101,080-4959345,Jayanagar,Casual Dining,Sushi,"Fast Food, Desserts",200.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_759, Bangalore",Resto_759,Yes,Yes,4.7,665,080-5449004,Koramangala,Bakery,Sushi,"Continental, Mexican",,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
"Address_109, Bangalore",Resto_109,No,No,2.8,2552,080-6688907,Indiranagar,Cafe,Sushi,Mexican,1200.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_708, Bangalore",Pizza Hut,No,No,3.2,164,080-1479076,HSR Layout,Bar,Pasta,"Chinese, Mexican, Beverages, Desserts, South Indian",3000.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_758, Bangalore",Resto_758,Yes,Yes,2.4,637,080-7960470,Jayanagar,Fine Dining,Pasta,"North Indian, Fast Food, Italian, Mexican",1000.0,Sample Review Text...,4,Cafes,Bengaluru,0,4,3+ Cuisines
"Address_435, Bangalore",Empire Restaurant,No,Yes,,2686,080-7626953,Marathahalli,Bakery,Dosa,"Fast Food, Desserts, Continental, Beverages",3000.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_642, Bangalore",Resto_642,No,Yes,,298,080-8541520,Marathahalli,Bar,Steak,"Fast Food, North Indian, South Indian",1200.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_745, Bangalore",Burger King,Yes,No,4.3,1871,080-1397267,Whitefield,Casual Dining,Sushi,"Italian, Continental",,Sample Review Text...,2,Cafes,Bengaluru,1,2,1-2 Cuisines
"Address_867, Bangalore",Burger King,No,Yes,3.2,1768,080-4770193,Koramangala,Bar,Pasta,"Mexican, North Indian, Italian",1200.0,Sample Review Text...,3,Cafes,Bengaluru,0,3,3+ Cuisines
"Address_980, Bangalore",Nandhana Palace,No,No,2.2,1850,080-3378560,HSR Layout,Fine Dining,Salad,"Chinese, Mexican, Desserts",2500.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_649, Bangalore",Resto_649,Yes,No,4.1,2263,080-2939164,Marathahalli,Casual Dining,Salad,"Mexican, South Indian, Fast Food, Thai",1500.0,Sample Review Text...,4,Delivery,Bengaluru,1,4,3+ Cuisines
"Address_737, Bangalore",Resto_737,Yes,Yes,3.3,2615,080-6528345,Koramangala,Bar,Pizza,"Italian, Fast Food, Thai, Desserts, North Indian",1500.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_150, Bangalore",Resto_150,Yes,No,4.2,2285,080-9099554,HSR Layout,Bakery,Pizza,"Mexican, Desserts, South Indian",,Sample Review Text...,3,Drinks & nightlife,Bengaluru,1,3,3+ Cuisines
"Address_59, Bangalore",KFC,No,Yes,3.8,2776,080-1559763,Jayanagar,Fine Dining,Sushi,North Indian,1000.0,Sample Review Text...,1,Pubs and bars,Bengaluru,0,1,1-2 Cuisines
"Address_149, Bangalore",Burger King,No,Yes,3.0,2199,080-7704473,Indiranagar,Casual Dining,Sushi,"Thai, South Indian",3000.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_168, Bangalore",KFC,Yes,No,2.2,980,080-2191383,Marathahalli,Bakery,Biryani,Italian,2000.0,Sample Review Text...,1,Drinks & nightlife,Bengaluru,0,1,1-2 Cuisines
"Address_456, Bangalore",Nandhana Palace,Yes,No,2.9,1852,080-8534223,,Bar,Pasta,"Desserts, South Indian, Beverages, Continental",2000.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_870, Bangalore",Resto_870,No,No,3.8,257,080-6438575,Whitefield,Fine Dining,Burgers,"Continental, Fast Food, Italian",,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
